$1......2.......3.......4.......5.......6.......7.......8.......
GRID           1        0.      0.      0.      
GRID           2        0.00125 0.      0.      
GRID           3        0.0025  0.      0.      
GRID           4        0.00375 0.      0.      
GRID           5        0.005   0.      0.      
GRID           6        0.00625 0.      0.      
GRID           7        0.0075  0.      0.      
GRID           8        0.00875 0.      0.      
GRID           9        0.01    0.      0.      
GRID          10        0.01125 0.      0.      
GRID          11        0.0125  0.      0.      
GRID          12        0.01375 0.      0.      
GRID          13        0.015   0.      0.      
GRID          14        0.01625 0.      0.      
GRID          15        0.0175  0.      0.      
GRID          16        0.01875 0.      0.      
GRID          17        0.02    0.      0.      
GRID          18        0.02125 0.      0.      
GRID          19        0.0225  0.      0.      
GRID          20        0.02375 0.      0.      
GRID          21        0.025   0.      0.      
GRID          22        0.02625 0.      0.      
GRID          23        0.0275  0.      0.      
GRID          24        0.02875 0.      0.      
GRID          25        0.03    0.      0.      
GRID          26        0.03125 0.      0.      
GRID          27        0.0325  0.      0.      
GRID          28        0.03375 0.      0.      
GRID          29        0.035   0.      0.      
GRID          30        0.03625 0.      0.      
GRID          31        0.0375  0.      0.      
GRID          32        0.03875 0.      0.      
GRID          33        0.04    0.      0.      
GRID          34        0.04125 0.      0.      
GRID          35        0.0425  0.      0.      
GRID          36        0.04375 0.      0.      
GRID          37        0.045   0.      0.      
GRID          38        0.04625 0.      0.      
GRID          39        0.0475  0.      0.      
GRID          40        0.04875 0.      0.      
GRID          41        0.05    0.      0.      
GRID          42        0.05125 0.      0.      
GRID          43        0.0525  0.      0.      
GRID          44        0.05375 0.      0.      
GRID          45        0.055   0.      0.      
GRID          46        0.05625 0.      0.      
GRID          47        0.0575  0.      0.      
GRID          48        0.05875 0.      0.      
GRID          49        0.06    0.      0.      
GRID          50        0.06125 0.      0.      
GRID          51        0.0625  0.      0.      
GRID          52        0.06375 0.      0.      
GRID          53        0.065   0.      0.      
GRID          54        0.06625 0.      0.      
GRID          55        0.0675  0.      0.      
GRID          56        0.06875 0.      0.      
GRID          57        0.07    0.      0.      
GRID          58        0.07125 0.      0.      
GRID          59        0.0725  0.      0.      
GRID          60        0.07375 0.      0.      
