$1......2.......3.......4.......5.......6.......7.......8.......
GRID           1        0.      0.      0.      
GRID           2        0.0016660.      0.      
GRID           3        0.0033330.      0.      
GRID           4        0.005   0.      0.      
GRID           5        0.0066660.      0.      
GRID           6        0.0083330.      0.      
GRID           7        0.01    0.      0.      
GRID           8        0.0116660.      0.      
GRID           9        0.0133330.      0.      
GRID          10        0.015   0.      0.      
GRID          11        0.0166660.      0.      
GRID          12        0.0183330.      0.      
GRID          13        0.02    0.      0.      
GRID          14        0.0216660.      0.      
GRID          15        0.0233330.      0.      
GRID          16        0.025   0.      0.      
GRID          17        0.0266660.      0.      
GRID          18        0.0283330.      0.      
GRID          19        0.03    0.      0.      
GRID          20        0.0316660.      0.      
GRID          21        0.0333330.      0.      
GRID          22        0.035   0.      0.      
GRID          23        0.0366660.      0.      
GRID          24        0.0383330.      0.      
GRID          25        0.04    0.      0.      
GRID          26        0.0416660.      0.      
GRID          27        0.0433330.      0.      
GRID          28        0.045   0.      0.      
GRID          29        0.0466660.      0.      
GRID          30        0.0483330.      0.      
GRID          31        0.05    0.      0.      
GRID          32        0.0516660.      0.      
GRID          33        0.0533330.      0.      
GRID          34        0.055   0.      0.      
GRID          35        0.0566660.      0.      
GRID          36        0.0583330.      0.      
GRID          37        0.06    0.      0.      
GRID          38        0.0616660.      0.      
GRID          39        0.0633330.      0.      
GRID          40        0.065   0.      0.      
GRID          41        0.0666660.      0.      
GRID          42        0.0683330.      0.      
GRID          43        0.07    0.      0.      
GRID          44        0.0716660.      0.      
GRID          45        0.0733330.      0.      
GRID          46        0.075   0.      0.      
GRID          47        0.0766660.      0.      
GRID          48        0.0783330.      0.      
GRID          49        0.08    0.      0.      
GRID          50        0.0816660.      0.      
GRID          51        0.0833330.      0.      
GRID          52        0.085   0.      0.      
GRID          53        0.0866660.      0.      
GRID          54        0.0883330.      0.      
GRID          55        0.09    0.      0.      
GRID          56        0.0916660.      0.      
GRID          57        0.0933330.      0.      
GRID          58        0.095   0.      0.      
GRID          59        0.0966660.      0.      
GRID          60        0.0983330.      0.      
GRID          61        0.1     0.      0.      
GRID          62        0.1016670.      0.      
GRID          63        0.1033330.      0.      
GRID          64        0.105   0.      0.      
GRID          65        0.1066670.      0.      
GRID          66        0.1083330.      0.      
GRID          67        0.11    0.      0.      
GRID          68        0.1116670.      0.      
GRID          69        0.1133330.      0.      
GRID          70        0.115   0.      0.      
GRID          71        0.1166670.      0.      
GRID          72        0.1183330.      0.      
GRID          73        0.12    0.      0.      
GRID          74        0.1216670.      0.      
GRID          75        0.1233330.      0.      
GRID          76        0.125   0.      0.      
GRID          77        0.1266670.      0.      
GRID          78        0.1283330.      0.      
GRID          79        0.13    0.      0.      
GRID          80        0.1316670.      0.      
GRID          81        0.1333330.      0.      
GRID          82        0.135   0.      0.      
GRID          83        0.1366670.      0.      
GRID          84        0.1383330.      0.      
GRID          85        0.14    0.      0.      
GRID          86        0.1416670.      0.      
GRID          87        0.1433330.      0.      
GRID          88        0.145   0.      0.      
GRID          89        0.1466670.      0.      
GRID          90        0.1483330.      0.      
GRID          91        0.15    0.      0.      
GRID          92        0.1516670.      0.      
GRID          93        0.1533330.      0.      
GRID          94        0.155   0.      0.      
GRID          95        0.1566670.      0.      
GRID          96        0.1583330.      0.      
GRID          97        0.16    0.      0.      
GRID          98        0.1616670.      0.      
GRID          99        0.1633330.      0.      
GRID         100        0.165   0.      0.      
GRID         101        0.1666670.      0.      
GRID         102        0.1683330.      0.      
GRID         103        0.17    0.      0.      
GRID         104        0.1716670.      0.      
GRID         105        0.1733330.      0.      
GRID         106        0.175   0.      0.      
GRID         107        0.1766670.      0.      
GRID         108        0.1783330.      0.      
GRID         109        0.18    0.      0.      
GRID         110        0.1816670.      0.      
GRID         111        0.1833330.      0.      
GRID         112        0.185   0.      0.      
GRID         113        0.1866670.      0.      
GRID         114        0.1883330.      0.      
GRID         115        0.19    0.      0.      
GRID         116        0.1916670.      0.      
GRID         117        0.1933330.      0.      
GRID         118        0.195   0.      0.      
GRID         119        0.1966670.      0.      
GRID         120        0.1983330.      0.      
GRID         121        0.2     0.      0.      
GRID         122        0.2016670.      0.      
GRID         123        0.2033330.      0.      
GRID         124        0.205   0.      0.      
GRID         125        0.2066670.      0.      
GRID         126        0.2083330.      0.      
GRID         127        0.21    0.      0.      
GRID         128        0.2116670.      0.      
GRID         129        0.2133330.      0.      
GRID         130        0.215   0.      0.      
GRID         131        0.2166670.      0.      
GRID         132        0.2183330.      0.      
GRID         133        0.22    0.      0.      
GRID         134        0.2216670.      0.      
GRID         135        0.2233330.      0.      
GRID         136        0.225   0.      0.      
GRID         137        0.2266670.      0.      
GRID         138        0.2283330.      0.      
GRID         139        0.23    0.      0.      
GRID         140        0.2316670.      0.      
GRID         141        0.2333330.      0.      
GRID         142        0.235   0.      0.      
GRID         143        0.2366670.      0.      
GRID         144        0.2383330.      0.      
GRID         145        0.24    0.      0.      
GRID         146        0.2416670.      0.      
GRID         147        0.2433330.      0.      
GRID         148        0.245   0.      0.      
GRID         149        0.2466670.      0.      
GRID         150        0.2483330.      0.      
GRID         151        0.25    0.      0.      
GRID         152        0.2516670.      0.      
GRID         153        0.2533330.      0.      
GRID         154        0.255   0.      0.      
GRID         155        0.2566670.      0.      
GRID         156        0.2583330.      0.      
GRID         157        0.26    0.      0.      
GRID         158        0.2616670.      0.      
GRID         159        0.2633330.      0.      
GRID         160        0.265   0.      0.      
GRID         161        0.2666670.      0.      
GRID         162        0.2683330.      0.      
GRID         163        0.27    0.      0.      
GRID         164        0.2716670.      0.      
GRID         165        0.2733330.      0.      
GRID         166        0.275   0.      0.      
GRID         167        0.2766670.      0.      
GRID         168        0.2783330.      0.      
GRID         169        0.28    0.      0.      
GRID         170        0.2816670.      0.      
GRID         171        0.2833330.      0.      
GRID         172        0.285   0.      0.      
GRID         173        0.2866670.      0.      
GRID         174        0.2883330.      0.      
GRID         175        0.29    0.      0.      
GRID         176        0.2916670.      0.      
GRID         177        0.2933330.      0.      
GRID         178        0.295   0.      0.      
GRID         179        0.2966670.      0.      
GRID         180        0.2983330.      0.      
GRID         181        0.3     0.      0.      
GRID         182        0.3016670.      0.      
GRID         183        0.3033330.      0.      
GRID         184        0.305   0.      0.      
GRID         185        0.3066670.      0.      
GRID         186        0.3083330.      0.      
GRID         187        0.31    0.      0.      
GRID         188        0.3116670.      0.      
GRID         189        0.3133330.      0.      
GRID         190        0.315   0.      0.      
GRID         191        0.3166670.      0.      
GRID         192        0.3183330.      0.      
GRID         193        0.32    0.      0.      
GRID         194        0.3216670.      0.      
GRID         195        0.3233330.      0.      
GRID         196        0.325   0.      0.      
GRID         197        0.3266670.      0.      
GRID         198        0.3283330.      0.      
GRID         199        0.33    0.      0.      
GRID         200        0.3316670.      0.      
GRID         201        0.3333330.      0.      
GRID         202        0.335   0.      0.      
GRID         203        0.3366670.      0.      
GRID         204        0.3383330.      0.      
GRID         205        0.34    0.      0.      
GRID         206        0.3416670.      0.      
GRID         207        0.3433330.      0.      
GRID         208        0.345   0.      0.      
GRID         209        0.3466670.      0.      
GRID         210        0.3483330.      0.      
GRID         211        0.35    0.      0.      
GRID         212        0.3516670.      0.      
GRID         213        0.3533330.      0.      
GRID         214        0.355   0.      0.      
GRID         215        0.3566670.      0.      
GRID         216        0.3583330.      0.      
GRID         217        0.36    0.      0.      
GRID         218        0.3616670.      0.      
GRID         219        0.3633330.      0.      
GRID         220        0.365   0.      0.      
GRID         221        0.3666670.      0.      
GRID         222        0.3683330.      0.      
GRID         223        0.37    0.      0.      
GRID         224        0.3716670.      0.      
GRID         225        0.3733330.      0.      
GRID         226        0.375   0.      0.      
GRID         227        0.3766670.      0.      
GRID         228        0.3783330.      0.      
GRID         229        0.38    0.      0.      
GRID         230        0.3816670.      0.      
GRID         231        0.3833330.      0.      
GRID         232        0.385   0.      0.      
GRID         233        0.3866670.      0.      
GRID         234        0.3883330.      0.      
GRID         235        0.39    0.      0.      
GRID         236        0.3916670.      0.      
GRID         237        0.3933330.      0.      
GRID         238        0.395   0.      0.      
GRID         239        0.3966670.      0.      
GRID         240        0.3983330.      0.      
GRID         241        0.4     0.      0.      
GRID         242        0.      0.0016660.      
GRID         243        0.0016660.0016660.      
GRID         244        0.0033330.0016660.      
GRID         245        0.005   0.0016660.      
GRID         246        0.0066660.0016660.      
GRID         247        0.0083330.0016660.      
GRID         248        0.01    0.0016660.      
GRID         249        0.0116660.0016660.      
GRID         250        0.0133330.0016660.      
GRID         251        0.015   0.0016660.      
GRID         252        0.0166660.0016660.      
GRID         253        0.0183330.0016660.      
GRID         254        0.02    0.0016660.      
GRID         255        0.0216660.0016660.      
GRID         256        0.0233330.0016660.      
GRID         257        0.025   0.0016660.      
GRID         258        0.0266660.0016660.      
GRID         259        0.0283330.0016660.      
GRID         260        0.03    0.0016660.      
GRID         261        0.0316660.0016660.      
GRID         262        0.0333330.0016660.      
GRID         263        0.035   0.0016660.      
GRID         264        0.0366660.0016660.      
GRID         265        0.0383330.0016660.      
GRID         266        0.04    0.0016660.      
GRID         267        0.0416660.0016660.      
GRID         268        0.0433330.0016660.      
GRID         269        0.045   0.0016660.      
GRID         270        0.0466660.0016660.      
GRID         271        0.0483330.0016660.      
GRID         272        0.05    0.0016660.      
GRID         273        0.0516660.0016660.      
GRID         274        0.0533330.0016660.      
GRID         275        0.055   0.0016660.      
GRID         276        0.0566660.0016660.      
GRID         277        0.0583330.0016660.      
GRID         278        0.06    0.0016660.      
GRID         279        0.0616660.0016660.      
GRID         280        0.0633330.0016660.      
GRID         281        0.065   0.0016660.      
GRID         282        0.0666660.0016660.      
GRID         283        0.0683330.0016660.      
GRID         284        0.07    0.0016660.      
GRID         285        0.0716660.0016660.      
GRID         286        0.0733330.0016660.      
GRID         287        0.075   0.0016660.      
GRID         288        0.0766660.0016660.      
GRID         289        0.0783330.0016660.      
GRID         290        0.08    0.0016660.      
GRID         291        0.0816660.0016660.      
GRID         292        0.0833330.0016660.      
GRID         293        0.085   0.0016660.      
GRID         294        0.0866660.0016660.      
GRID         295        0.0883330.0016660.      
GRID         296        0.09    0.0016660.      
GRID         297        0.0916660.0016660.      
GRID         298        0.0933330.0016660.      
GRID         299        0.095   0.0016660.      
GRID         300        0.0966660.0016660.      
GRID         301        0.0983330.0016660.      
GRID         302        0.1     0.0016660.      
GRID         303        0.1016670.0016660.      
GRID         304        0.1033330.0016660.      
GRID         305        0.105   0.0016660.      
GRID         306        0.1066670.0016660.      
GRID         307        0.1083330.0016660.      
GRID         308        0.11    0.0016660.      
GRID         309        0.1116670.0016660.      
GRID         310        0.1133330.0016660.      
GRID         311        0.115   0.0016660.      
GRID         312        0.1166670.0016660.      
GRID         313        0.1183330.0016660.      
GRID         314        0.12    0.0016660.      
GRID         315        0.1216670.0016660.      
GRID         316        0.1233330.0016660.      
GRID         317        0.125   0.0016660.      
GRID         318        0.1266670.0016660.      
GRID         319        0.1283330.0016660.      
GRID         320        0.13    0.0016660.      
GRID         321        0.1316670.0016660.      
GRID         322        0.1333330.0016660.      
GRID         323        0.135   0.0016660.      
GRID         324        0.1366670.0016660.      
GRID         325        0.1383330.0016660.      
GRID         326        0.14    0.0016660.      
GRID         327        0.1416670.0016660.      
GRID         328        0.1433330.0016660.      
GRID         329        0.145   0.0016660.      
GRID         330        0.1466670.0016660.      
GRID         331        0.1483330.0016660.      
GRID         332        0.15    0.0016660.      
GRID         333        0.1516670.0016660.      
GRID         334        0.1533330.0016660.      
GRID         335        0.155   0.0016660.      
GRID         336        0.1566670.0016660.      
GRID         337        0.1583330.0016660.      
GRID         338        0.16    0.0016660.      
GRID         339        0.1616670.0016660.      
GRID         340        0.1633330.0016660.      
GRID         341        0.165   0.0016660.      
GRID         342        0.1666670.0016660.      
GRID         343        0.1683330.0016660.      
GRID         344        0.17    0.0016660.      
GRID         345        0.1716670.0016660.      
GRID         346        0.1733330.0016660.      
GRID         347        0.175   0.0016660.      
GRID         348        0.1766670.0016660.      
GRID         349        0.1783330.0016660.      
GRID         350        0.18    0.0016660.      
GRID         351        0.1816670.0016660.      
GRID         352        0.1833330.0016660.      
GRID         353        0.185   0.0016660.      
GRID         354        0.1866670.0016660.      
GRID         355        0.1883330.0016660.      
GRID         356        0.19    0.0016660.      
GRID         357        0.1916670.0016660.      
GRID         358        0.1933330.0016660.      
GRID         359        0.195   0.0016660.      
GRID         360        0.1966670.0016660.      
GRID         361        0.1983330.0016660.      
GRID         362        0.2     0.0016660.      
GRID         363        0.2016670.0016660.      
GRID         364        0.2033330.0016660.      
GRID         365        0.205   0.0016660.      
GRID         366        0.2066670.0016660.      
GRID         367        0.2083330.0016660.      
GRID         368        0.21    0.0016660.      
GRID         369        0.2116670.0016660.      
GRID         370        0.2133330.0016660.      
GRID         371        0.215   0.0016660.      
GRID         372        0.2166670.0016660.      
GRID         373        0.2183330.0016660.      
GRID         374        0.22    0.0016660.      
GRID         375        0.2216670.0016660.      
GRID         376        0.2233330.0016660.      
GRID         377        0.225   0.0016660.      
GRID         378        0.2266670.0016660.      
GRID         379        0.2283330.0016660.      
GRID         380        0.23    0.0016660.      
GRID         381        0.2316670.0016660.      
GRID         382        0.2333330.0016660.      
GRID         383        0.235   0.0016660.      
GRID         384        0.2366670.0016660.      
GRID         385        0.2383330.0016660.      
GRID         386        0.24    0.0016660.      
GRID         387        0.2416670.0016660.      
GRID         388        0.2433330.0016660.      
GRID         389        0.245   0.0016660.      
GRID         390        0.2466670.0016660.      
GRID         391        0.2483330.0016660.      
GRID         392        0.25    0.0016660.      
GRID         393        0.2516670.0016660.      
GRID         394        0.2533330.0016660.      
GRID         395        0.255   0.0016660.      
GRID         396        0.2566670.0016660.      
GRID         397        0.2583330.0016660.      
GRID         398        0.26    0.0016660.      
GRID         399        0.2616670.0016660.      
GRID         400        0.2633330.0016660.      
GRID         401        0.265   0.0016660.      
GRID         402        0.2666670.0016660.      
GRID         403        0.2683330.0016660.      
GRID         404        0.27    0.0016660.      
GRID         405        0.2716670.0016660.      
GRID         406        0.2733330.0016660.      
GRID         407        0.275   0.0016660.      
GRID         408        0.2766670.0016660.      
GRID         409        0.2783330.0016660.      
GRID         410        0.28    0.0016660.      
GRID         411        0.2816670.0016660.      
GRID         412        0.2833330.0016660.      
GRID         413        0.285   0.0016660.      
GRID         414        0.2866670.0016660.      
GRID         415        0.2883330.0016660.      
GRID         416        0.29    0.0016660.      
GRID         417        0.2916670.0016660.      
GRID         418        0.2933330.0016660.      
GRID         419        0.295   0.0016660.      
GRID         420        0.2966670.0016660.      
GRID         421        0.2983330.0016660.      
GRID         422        0.3     0.0016660.      
GRID         423        0.3016670.0016660.      
GRID         424        0.3033330.0016660.      
GRID         425        0.305   0.0016660.      
GRID         426        0.3066670.0016660.      
GRID         427        0.3083330.0016660.      
GRID         428        0.31    0.0016660.      
GRID         429        0.3116670.0016660.      
GRID         430        0.3133330.0016660.      
GRID         431        0.315   0.0016660.      
GRID         432        0.3166670.0016660.      
GRID         433        0.3183330.0016660.      
GRID         434        0.32    0.0016660.      
GRID         435        0.3216670.0016660.      
GRID         436        0.3233330.0016660.      
GRID         437        0.325   0.0016660.      
GRID         438        0.3266670.0016660.      
GRID         439        0.3283330.0016660.      
GRID         440        0.33    0.0016660.      
GRID         441        0.3316670.0016660.      
GRID         442        0.3333330.0016660.      
GRID         443        0.335   0.0016660.      
GRID         444        0.3366670.0016660.      
GRID         445        0.3383330.0016660.      
GRID         446        0.34    0.0016660.      
GRID         447        0.3416670.0016660.      
GRID         448        0.3433330.0016660.      
GRID         449        0.345   0.0016660.      
GRID         450        0.3466670.0016660.      
GRID         451        0.3483330.0016660.      
GRID         452        0.35    0.0016660.      
GRID         453        0.3516670.0016660.      
GRID         454        0.3533330.0016660.      
GRID         455        0.355   0.0016660.      
GRID         456        0.3566670.0016660.      
GRID         457        0.3583330.0016660.      
GRID         458        0.36    0.0016660.      
GRID         459        0.3616670.0016660.      
GRID         460        0.3633330.0016660.      
GRID         461        0.365   0.0016660.      
GRID         462        0.3666670.0016660.      
GRID         463        0.3683330.0016660.      
GRID         464        0.37    0.0016660.      
GRID         465        0.3716670.0016660.      
GRID         466        0.3733330.0016660.      
GRID         467        0.375   0.0016660.      
GRID         468        0.3766670.0016660.      
GRID         469        0.3783330.0016660.      
GRID         470        0.38    0.0016660.      
GRID         471        0.3816670.0016660.      
GRID         472        0.3833330.0016660.      
GRID         473        0.385   0.0016660.      
GRID         474        0.3866670.0016660.      
GRID         475        0.3883330.0016660.      
GRID         476        0.39    0.0016660.      
GRID         477        0.3916670.0016660.      
GRID         478        0.3933330.0016660.      
GRID         479        0.395   0.0016660.      
GRID         480        0.3966670.0016660.      
GRID         481        0.3983330.0016660.      
GRID         482        0.4     0.0016660.      
GRID         483        0.      0.0033330.      
GRID         484        0.0016660.0033330.      
GRID         485        0.0033330.0033330.      
GRID         486        0.005   0.0033330.      
GRID         487        0.0066660.0033330.      
GRID         488        0.0083330.0033330.      
GRID         489        0.01    0.0033330.      
GRID         490        0.0116660.0033330.      
GRID         491        0.0133330.0033330.      
GRID         492        0.015   0.0033330.      
GRID         493        0.0166660.0033330.      
GRID         494        0.0183330.0033330.      
GRID         495        0.02    0.0033330.      
GRID         496        0.0216660.0033330.      
GRID         497        0.0233330.0033330.      
GRID         498        0.025   0.0033330.      
GRID         499        0.0266660.0033330.      
GRID         500        0.0283330.0033330.      
GRID         501        0.03    0.0033330.      
GRID         502        0.0316660.0033330.      
GRID         503        0.0333330.0033330.      
GRID         504        0.035   0.0033330.      
GRID         505        0.0366660.0033330.      
GRID         506        0.0383330.0033330.      
GRID         507        0.04    0.0033330.      
GRID         508        0.0416660.0033330.      
GRID         509        0.0433330.0033330.      
GRID         510        0.045   0.0033330.      
GRID         511        0.0466660.0033330.      
GRID         512        0.0483330.0033330.      
GRID         513        0.05    0.0033330.      
GRID         514        0.0516660.0033330.      
GRID         515        0.0533330.0033330.      
GRID         516        0.055   0.0033330.      
GRID         517        0.0566660.0033330.      
GRID         518        0.0583330.0033330.      
GRID         519        0.06    0.0033330.      
