$1......2.......3.......4.......5.......6.......7.......8.......
GRID           1        0.      0.      0.      
GRID           2        0.002   0.      0.      
GRID           3        0.004   0.      0.      
GRID           4        0.006   0.      0.      
GRID           5        0.008   0.      0.      
GRID           6        0.01    0.      0.      
GRID           7        0.012   0.      0.      
GRID           8        0.014   0.      0.      
GRID           9        0.016   0.      0.      
GRID          10        0.018   0.      0.      
GRID          11        0.02    0.      0.      
GRID          12        0.022   0.      0.      
GRID          13        0.024   0.      0.      
GRID          14        0.026   0.      0.      
GRID          15        0.028   0.      0.      
GRID          16        0.03    0.      0.      
GRID          17        0.032   0.      0.      
GRID          18        0.034   0.      0.      
GRID          19        0.036   0.      0.      
GRID          20        0.038   0.      0.      
GRID          21        0.04    0.      0.      
GRID          22        0.042   0.      0.      
GRID          23        0.044   0.      0.      
GRID          24        0.046   0.      0.      
GRID          25        0.048   0.      0.      
GRID          26        0.05    0.      0.      
GRID          27        0.052   0.      0.      
GRID          28        0.054   0.      0.      
GRID          29        0.056   0.      0.      
GRID          30        0.058   0.      0.      
GRID          31        0.06    0.      0.      
GRID          32        0.062   0.      0.      
GRID          33        0.064   0.      0.      
GRID          34        0.066   0.      0.      
GRID          35        0.068   0.      0.      
GRID          36        0.07    0.      0.      
GRID          37        0.072   0.      0.      
GRID          38        0.074   0.      0.      
GRID          39        0.076   0.      0.      
GRID          40        0.078   0.      0.      
GRID          41        0.08    0.      0.      
GRID          42        0.082   0.      0.      
GRID          43        0.084   0.      0.      
GRID          44        0.086   0.      0.      
GRID          45        0.088   0.      0.      
GRID          46        0.09    0.      0.      
GRID          47        0.092   0.      0.      
GRID          48        0.094   0.      0.      
GRID          49        0.096   0.      0.      
GRID          50        0.098   0.      0.      
GRID          51        0.1     0.      0.      
GRID          52        0.102   0.      0.      
GRID          53        0.104   0.      0.      
GRID          54        0.106   0.      0.      
GRID          55        0.108   0.      0.      
GRID          56        0.11    0.      0.      
GRID          57        0.112   0.      0.      
GRID          58        0.114   0.      0.      
GRID          59        0.116   0.      0.      
GRID          60        0.118   0.      0.      
GRID          61        0.12    0.      0.      
GRID          62        0.122   0.      0.      
GRID          63        0.124   0.      0.      
GRID          64        0.126   0.      0.      
GRID          65        0.128   0.      0.      
GRID          66        0.13    0.      0.      
GRID          67        0.132   0.      0.      
GRID          68        0.134   0.      0.      
GRID          69        0.136   0.      0.      
GRID          70        0.138   0.      0.      
GRID          71        0.14    0.      0.      
GRID          72        0.142   0.      0.      
GRID          73        0.144   0.      0.      
GRID          74        0.146   0.      0.      
GRID          75        0.148   0.      0.      
GRID          76        0.15    0.      0.      
GRID          77        0.152   0.      0.      
GRID          78        0.154   0.      0.      
GRID          79        0.156   0.      0.      
GRID          80        0.158   0.      0.      
GRID          81        0.16    0.      0.      
GRID          82        0.162   0.      0.      
GRID          83        0.164   0.      0.      
GRID          84        0.166   0.      0.      
GRID          85        0.168   0.      0.      
GRID          86        0.17    0.      0.      
GRID          87        0.172   0.      0.      
GRID          88        0.174   0.      0.      
GRID          89        0.176   0.      0.      
GRID          90        0.178   0.      0.      
GRID          91        0.18    0.      0.      
GRID          92        0.182   0.      0.      
GRID          93        0.184   0.      0.      
GRID          94        0.186   0.      0.      
GRID          95        0.188   0.      0.      
GRID          96        0.19    0.      0.      
GRID          97        0.192   0.      0.      
GRID          98        0.194   0.      0.      
GRID          99        0.196   0.      0.      
GRID         100        0.198   0.      0.      
GRID         101        0.2     0.      0.      
GRID         102        0.202   0.      0.      
GRID         103        0.204   0.      0.      
GRID         104        0.206   0.      0.      
GRID         105        0.208   0.      0.      
GRID         106        0.21    0.      0.      
GRID         107        0.212   0.      0.      
GRID         108        0.214   0.      0.      
GRID         109        0.216   0.      0.      
GRID         110        0.218   0.      0.      
GRID         111        0.22    0.      0.      
GRID         112        0.222   0.      0.      
GRID         113        0.224   0.      0.      
GRID         114        0.226   0.      0.      
GRID         115        0.228   0.      0.      
GRID         116        0.23    0.      0.      
GRID         117        0.232   0.      0.      
GRID         118        0.234   0.      0.      
GRID         119        0.236   0.      0.      
GRID         120        0.238   0.      0.      
GRID         121        0.24    0.      0.      
GRID         122        0.242   0.      0.      
GRID         123        0.244   0.      0.      
GRID         124        0.246   0.      0.      
GRID         125        0.248   0.      0.      
GRID         126        0.25    0.      0.      
GRID         127        0.252   0.      0.      
GRID         128        0.254   0.      0.      
GRID         129        0.256   0.      0.      
GRID         130        0.258   0.      0.      
GRID         131        0.26    0.      0.      
GRID         132        0.262   0.      0.      
GRID         133        0.264   0.      0.      
GRID         134        0.266   0.      0.      
GRID         135        0.268   0.      0.      
GRID         136        0.27    0.      0.      
GRID         137        0.272   0.      0.      
GRID         138        0.274   0.      0.      
GRID         139        0.276   0.      0.      
GRID         140        0.278   0.      0.      
GRID         141        0.28    0.      0.      
GRID         142        0.282   0.      0.      
GRID         143        0.284   0.      0.      
GRID         144        0.286   0.      0.      
GRID         145        0.288   0.      0.      
GRID         146        0.29    0.      0.      
GRID         147        0.292   0.      0.      
GRID         148        0.294   0.      0.      
GRID         149        0.296   0.      0.      
GRID         150        0.298   0.      0.      
GRID         151        0.3     0.      0.      
GRID         152        0.302   0.      0.      
GRID         153        0.304   0.      0.      
GRID         154        0.306   0.      0.      
GRID         155        0.308   0.      0.      
GRID         156        0.31    0.      0.      
GRID         157        0.312   0.      0.      
GRID         158        0.314   0.      0.      
GRID         159        0.316   0.      0.      
GRID         160        0.318   0.      0.      
GRID         161        0.32    0.      0.      
GRID         162        0.322   0.      0.      
GRID         163        0.324   0.      0.      
GRID         164        0.326   0.      0.      
GRID         165        0.328   0.      0.      
GRID         166        0.33    0.      0.      
GRID         167        0.332   0.      0.      
GRID         168        0.334   0.      0.      
GRID         169        0.336   0.      0.      
GRID         170        0.338   0.      0.      
GRID         171        0.34    0.      0.      
GRID         172        0.342   0.      0.      
GRID         173        0.344   0.      0.      
GRID         174        0.346   0.      0.      
GRID         175        0.348   0.      0.      
GRID         176        0.35    0.      0.      
GRID         177        0.352   0.      0.      
GRID         178        0.354   0.      0.      
GRID         179        0.356   0.      0.      
GRID         180        0.358   0.      0.      
GRID         181        0.36    0.      0.      
GRID         182        0.362   0.      0.      
GRID         183        0.364   0.      0.      
GRID         184        0.366   0.      0.      
GRID         185        0.368   0.      0.      
GRID         186        0.37    0.      0.      
GRID         187        0.372   0.      0.      
GRID         188        0.374   0.      0.      
GRID         189        0.376   0.      0.      
GRID         190        0.378   0.      0.      
GRID         191        0.38    0.      0.      
GRID         192        0.382   0.      0.      
GRID         193        0.384   0.      0.      
GRID         194        0.386   0.      0.      
GRID         195        0.388   0.      0.      
GRID         196        0.39    0.      0.      
